date,fam,magnitude
2018-01-09T05:31:20.350000Z,15,1.812
2018-01-10T19:34:34.300000Z,03,1.538
2018-01-10T21:34:04.950000Z,03,1.238
2018-01-13T18:08:05.900000Z,17,1.938
2018-01-16T08:49:35.100000Z,01,2.095
2018-01-25T05:24:03.625000Z,03,1.186
2018-01-29T15:09:44.775000Z,02,2.177
2018-01-29T15:29:31.225000Z,02,0.966
2018-01-29T15:41:03.575000Z,02,1.321
2018-01-29T17:41:20.000000Z,02,1.813
2018-01-29T22:38:54.500000Z,02,1.817
2018-02-05T02:47:26.600000Z,03,1.58
2018-02-18T01:04:09.075000Z,02,1.266
2018-03-05T04:12:04.925000Z,02,1.53
2018-03-15T23:53:09.925000Z,07,1.924
2018-03-15T23:53:10.400000Z,06,2.374
2018-03-29T08:03:26.750000Z,04,2.758
2018-04-02T17:04:59.725000Z,05,2.889
2018-04-13T02:46:26.825000Z,03,1.608
2018-04-13T11:35:49.750000Z,03,1.397
2018-04-14T07:50:02.575000Z,03,1.277
2018-10-31T03:25:14.825000Z,02,0.961
2018-10-31T03:25:14.825000Z,02,1.172
2018-10-31T05:19:51.050000Z,10,1.003
2018-10-31T08:02:44.825000Z,10,2.183
2018-11-16T08:48:23.050000Z,02,0.902
2018-11-16T09:11:05.975000Z,02,1.654
2018-12-05T07:31:57.475000Z,17,2.124
2018-12-12T06:53:19.400000Z,01,2.008
2018-12-18T01:21:04.900000Z,02,1.16
2018-12-23T11:56:34.250000Z,05,2.712
2019-01-23T09:43:28.350000Z,12,1.677
2019-01-23T09:53:17.400000Z,12,1.515
2019-02-09T04:12:32.400000Z,07,2.187
2019-02-14T12:45:08.375000Z,09,1.774
2019-02-14T23:00:14.025000Z,02,2.914
2019-02-15T00:04:29.800000Z,02,1.374
2019-02-20T00:38:38.325000Z,02,2.472
2019-02-20T00:38:38.325000Z,02,2.684
2019-02-20T00:38:38.325000Z,02,3.153
2019-02-20T00:48:48.000000Z,02,1.442
2019-02-20T00:48:48.000000Z,02,2.122
2019-02-20T00:51:44.700000Z,02,3.113
2019-02-20T00:52:52.050000Z,02,1.762
2019-02-20T00:52:52.050000Z,02,2.443
2019-02-20T00:54:46.825000Z,02,1.435
2019-02-20T01:11:30.100000Z,02,1.108
2019-03-03T16:47:50.450000Z,02,0.974
2019-03-03T16:47:50.450000Z,02,1.654
2019-03-05T00:28:00.325000Z,03,1.163
2019-03-06T09:39:57.950000Z,09,2.442
2019-03-11T10:52:12.375000Z,16,2.249
2019-03-19T03:37:37.725000Z,17,1.226
2019-03-27T03:43:20.500000Z,08,3.4
2019-04-17T12:25:14.425000Z,02,2.524
2019-04-22T23:25:48.800000Z,04,2.584
2019-08-21T10:15:47.975000Z,02,1.519
2019-08-30T04:22:41.025000Z,12,1.965
2019-09-14T23:08:07.275000Z,02,1.78
2019-09-28T18:27:33.800000Z,05,1.916
2019-09-28T18:27:33.800000Z,05,2.02
2019-10-05T11:14:14.725000Z,03,1.555
2019-10-26T09:40:21.950000Z,01,1.833
2019-10-26T09:40:22.450000Z,01,1.79
2019-10-30T07:15:56.100000Z,01,1.902
2019-11-07T04:23:19.850000Z,11,2.056
2019-11-07T04:23:19.875000Z,01,1.974
2019-12-24T17:22:59.750000Z,08,1.977
2020-01-18T22:43:52.250000Z,02,1.38
2020-01-18T22:43:52.250000Z,02,1.591
2020-01-18T22:43:52.250000Z,02,2.06
